site_id,gmv_PGA,gmv_SA(0.1),gmv_SA(0.2),gmv_SA(0.3),gmv_SA(0.5),gmv_SA(0.6),gmv_SA(1.0),gmv_SA(2.0)
1484,0.006358,0.006159,0.010024,0.009974,0.009331,0.007953,0.007286,0.003183
1485,0.005493,0.006153,0.008932,0.008252,0.007064,0.005876,0.005085,0.002311
1486,0.005649,0.005980,0.008989,0.008504,0.007537,0.006332,0.005628,0.002531
1487,0.006990,0.006506,0.011067,0.011312,0.010848,0.009304,0.008619,0.003695
1488,0.005448,0.005728,0.008595,0.008136,0.007237,0.006090,0.005444,0.002463
1489,0.007892,0.006933,0.012456,0.013220,0.013274,0.011492,0.010839,0.004544
1490,0.007483,0.006503,0.011647,0.012369,0.012491,0.010839,0.010315,0.004362
1491,0.006402,0.006122,0.010062,0.010078,0.009502,0.008117,0.007476,0.003259
1492,0.007134,0.006589,0.011311,0.011625,0.011202,0.009619,0.008930,0.003814
1493,0.007004,0.006649,0.011169,0.011310,0.010719,0.009161,0.008410,0.003607
1494,0.005271,0.005846,0.008482,0.007849,0.006757,0.005632,0.004911,0.002246
1495,0.009820,0.010512,0.017128,0.016699,0.014711,0.012269,0.010402,0.004252
1496,0.009742,0.010532,0.017011,0.016492,0.014440,0.012023,0.010154,0.004160
1497,0.011219,0.011177,0.019589,0.019995,0.018450,0.015571,0.013510,0.005377
1498,0.009858,0.010560,0.017207,0.016772,0.014768,0.012315,0.010434,0.004262
1499,0.013512,0.012207,0.023364,0.025444,0.025533,0.021917,0.019678,0.007637
1500,0.011663,0.011369,0.020306,0.021019,0.019756,0.016735,0.014627,0.005780
1501,0.011832,0.011488,0.020610,0.021397,0.020184,0.017108,0.014966,0.005901
1502,0.011569,0.011234,0.020096,0.020835,0.019639,0.016648,0.014586,0.005770
1503,0.009275,0.010090,0.016107,0.015523,0.013543,0.011269,0.009525,0.003937
1504,0.012295,0.011735,0.021392,0.022469,0.021510,0.018284,0.016082,0.006304
1505,0.012274,0.011712,0.021350,0.022426,0.021474,0.018255,0.016061,0.006297
1506,0.005977,0.006827,0.009918,0.009132,0.007729,0.006402,0.005458,0.002448
1507,0.005707,0.006138,0.009162,0.008620,0.007566,0.006339,0.005586,0.002510
1508,0.005903,0.006723,0.009766,0.008997,0.007627,0.006322,0.005401,0.002427
1509,0.006283,0.007255,0.010542,0.009687,0.008146,0.006731,0.005688,0.002532
1510,0.005385,0.006003,0.008712,0.008055,0.006914,0.005757,0.005001,0.002279
1511,0.008554,0.008622,0.014389,0.014352,0.013125,0.011080,0.009751,0.004056
1512,0.005819,0.006606,0.009595,0.008844,0.007513,0.006231,0.005337,0.002403
1513,0.005933,0.006459,0.009631,0.009037,0.007877,0.006582,0.005751,0.002570
1514,0.005898,0.006716,0.009756,0.008988,0.007621,0.006317,0.005397,0.002425
1515,0.008083,0.008454,0.013612,0.013277,0.011871,0.009962,0.008659,0.003647
1516,0.005935,0.006461,0.009634,0.009039,0.007879,0.006584,0.005752,0.002570
1517,0.009736,0.009809,0.016716,0.016816,0.015379,0.012968,0.011308,0.004605
1518,0.009437,0.010098,0.016365,0.015923,0.014033,0.011709,0.009958,0.004096
1519,0.007954,0.008084,0.013251,0.013097,0.011916,0.010051,0.008861,0.003733
1520,0.009939,0.010206,0.017199,0.017151,0.015503,0.013026,0.011243,0.004569
1521,0.005860,0.006613,0.009647,0.008916,0.007602,0.006311,0.005419,0.002436
1522,0.008638,0.009636,0.014939,0.014159,0.012168,0.010087,0.008478,0.003557
1523,0.008800,0.009405,0.015100,0.014643,0.012918,0.010789,0.009229,0.003840
1524,0.007074,0.007044,0.011479,0.011366,0.010467,0.008870,0.007962,0.003418
1525,0.009297,0.009245,0.015794,0.015950,0.014706,0.012436,0.010946,0.004487
1526,0.009482,0.008491,0.015542,0.016579,0.016537,0.014249,0.013150,0.005353
1527,0.009790,0.009108,0.016369,0.017168,0.016644,0.014239,0.012877,0.005218
1528,0.009117,0.009689,0.015704,0.015305,0.013547,0.011322,0.009683,0.004003
1529,0.007475,0.007748,0.012397,0.012083,0.010862,0.009136,0.008021,0.003421
1530,0.007765,0.007782,0.012831,0.012750,0.011698,0.009894,0.008793,0.003716
1531,0.009189,0.008482,0.015175,0.015907,0.015479,0.013268,0.012097,0.004950
1532,0.005963,0.006677,0.009807,0.009101,0.007797,0.006481,0.005581,0.002498
1533,0.008313,0.008220,0.013843,0.013915,0.012875,0.010909,0.009706,0.004051
1534,0.005855,0.006606,0.009637,0.008908,0.007595,0.006306,0.005416,0.002434
1535,0.006737,0.007896,0.011475,0.010513,0.008761,0.007215,0.006025,0.002654
1536,0.008843,0.009394,0.015163,0.014755,0.013066,0.010924,0.009366,0.003892
1537,0.008730,0.010144,0.015268,0.014183,0.011885,0.009780,0.008067,0.003399
1538,0.011409,0.012738,0.020472,0.019657,0.016848,0.013922,0.011454,0.004595
1539,0.011845,0.011503,0.020636,0.021424,0.020206,0.017126,0.014979,0.005905
1540,0.010434,0.011538,0.018479,0.017763,0.015329,0.012702,0.010565,0.004292
1541,0.010085,0.010578,0.017575,0.017344,0.015471,0.012947,0.011056,0.004491
1542,0.010785,0.011661,0.019095,0.018606,0.016279,0.013539,0.011348,0.004574
1543,0.009924,0.010437,0.017264,0.016999,0.015139,0.012665,0.010815,0.004405
